TWN,YR,MSP,PWP,HDS,HIR,SCH,INF,WSC,NCR
CHS,2017,277,16,High,53,0.599,0.7,40,135
SI,2017,1670,21,Low,112,0.994,0.5,42,2
KI,2017,1100,41,Low,138,0,0.7,1,2
FOL,2017,539,26,Medium,90,0.599,0.5,43,3
MTP,2017,380,17,Medium,76,0.943,0.4,20,85
MNC,2017,219,28,Low,48,0.554,0.7,45,10
SUM,2017,195,23,Low,55,0.812,0.7,18,50
HAN,2017,214,16,Low,53,0.876,0.7,64,23
GC,2017,167,17,Low,61,0.694,0.7,15,42
NCH,2017,150,15,Medium,39,0.358,0.8,26,110
CHS,2014,239,7,High,45,0.599,0.6,40,130
SI,2014,1230,11,Low,82,0.994,0.5,42,2
KI,2014,1750,32,Low,219,0,0.7,1,2
FOL,2014,500,18,Medium,83,0.599,0.4,43,3
MTP,2014,360,8,Medium,72,0.943,0.4,20,78
MNC,2014,186,31,Low,40,0.554,0.7,45,9
SUM,2014,179,24,Low,50,0.812,0.7,18,47
HAN,2014,219,13,Low,54,0.876,0.7,64,20
GC,2014,137,16,Low,50,0.694,0.7,15,41
NCH,2014,144,9,Medium,37,0.358,0.8,26,107
CHS,2011,218,7,High,41,0.599,0.6,40,120
SI,2011,1170,11,Low,78,0.994,0.4,42,2
KI,2011,1752,32,Low,219,0,0.7,1,2
FOL,2011,433,18,Medium,72,0.599,0.4,43,3
MTP,2011,300,8,Medium,60,0.943,0.5,20,68
MNC,2011,165,31,Low,36,0.554,0.7,45,8
SUM,2011,167,24,Low,47,0.812,0.6,18,44
HAN,2011,189,13,Low,46,0.876,0.7,64,18
GC,2011,142,16,Low,51,0.694,0.7,15,38
NCH,2011,123,9,Medium,31,0.358,0.7,26,100
CHS,2008,211,8,High,40,0.599,0.6,40,115
SI,2008,1350,12,Low,90,0.994,0.4,42,2
KI,2008,1725,33,Low,216,0,0.7,1,1
FOL,2008,500,19,Medium,83,0.599,0.3,43,3
MTP,2008,314,9,Medium,62,0.943,0.5,20,65
MNC,2008,170,32,Low,37,0.554,0.7,45,7
SUM,2008,194,25,Low,54,0.812,0.6,18,45
HAN,2008,202,14,Low,50,0.876,0.7,64,16
GC,2008,157,17,Low,57,0.694,0.7,15,38
NCH,2008,147,10,Medium,38,0.358,0.7,26,95
CHS,2006,341,7,Medium,65,0.599,0.5,40,110
SI,2006,1575,11,Low,105,0.994,0.4,42,2
KI,2006,725,32,Low,90,0,0.7,1,1
FOL,2006,564,18,Medium,94,0.599,0.3,43,2
MTP,2006,219,8,Low,43,0.943,0.5,20,59
MNC,2006,151,31,Low,33,0.554,0.7,45,7
SUM,2006,171,24,Low,48,0.812,0.6,18,41
HAN,2006,207,13,Low,51,0.876,0.7,64,15
GC,2006,126,16,Low,46,0.694,0.7,15,35
NCH,2006,138,9,Low,35,0.358,0.7,26,90
CHS,2004,255,4,Medium,48,0.599,0.3,40,110
SI,2004,700,8,Low,46,0.994,0.3,42,2
KI,2004,1185,30,Low,148,0,0.7,1,1
FOL,2004,315,15,Low,52,0.599,0.3,43,2
MTP,2004,191,4,Low,38,0.943,0.3,20,54
MNC,2004,119,34,Low,26,0.554,0.6,45,7
SUM,2004,135,27,Low,38,0.812,0.6,18,32
HAN,2004,162,15,Low,40,0.876,0.6,64,13
GC,2004,125,18,Low,45,0.694,0.6,15,33
NCH,2004,112,14,Low,29,0.358,0.6,26,86
CHS,2000,211,4,Medium,40,0.599,0.3,40,100
SI,2000,650,8,Low,43,0.994,0.3,42,2
KI,2000,723,30,Low,90,0,0.7,1,1
FOL,2000,250,15,Low,41,0.599,0.3,43,2
MTP,2000,163,4,Low,32,0.943,0.3,20,48
MNC,2000,62,34,Low,13,0.554,0.6,45,6
SUM,2000,115,27,Low,32,0.812,0.6,18,28
HAN,2000,113,15,Low,27,0.876,0.6,64,13
GC,2000,95,18,Low,34,0.694,0.6,15,32
NCH,2000,78,14,Low,20,0.358,0.6,26,82
CHS,2016,516,16,High,53,0.599,0.7,40,135
